# PRETRAINING
#                 K,       elapsed time,   acceptance ratio 
   5.1573171297e+00,   2.9723331193e+00,   2.4381686239e-02,   3.5985252930e+00,   9.1320000000e-01
   5.1451011616e+00,   2.3126888350e+00,   2.1506691215e-02,   3.5762181330e+00,   9.0920000000e-01
   5.2931964623e+00,   2.9555229264e+00,   2.4312642499e-02,   3.3804148240e+00,   9.0520000000e-01
   5.0761934685e+00,   1.9180109068e+00,   1.9585764763e-02,   3.7695276880e+00,   9.2000000000e-01
   5.1005423504e+00,   2.0606291775e+00,   2.0300882629e-02,   4.0344708850e+00,   9.1620000000e-01
   5.1042624115e+00,   2.1322031515e+00,   2.0650438986e-02,   4.2601366250e+00,   9.1640000000e-01
   5.0844653034e+00,   1.7108475855e+00,   1.8497824659e-02,   4.9718634820e+00,   9.1640000000e-01
   5.0681775867e+00,   1.9751209893e+00,   1.9875215668e-02,   4.2951168120e+00,   9.2400000000e-01
   5.2053829562e+00,   2.3385070655e+00,   2.1626405459e-02,   3.7978136760e+00,   9.1360000000e-01
   5.1304124811e+00,   1.5747239305e+00,   1.7746683806e-02,   3.6046670680e+00,   9.2500000000e-01
   5.1972835348e+00,   2.0730923938e+00,   2.0362182564e-02,   3.3128443840e+00,   9.2520000000e-01
   5.0986522242e+00,   1.6570816309e+00,   1.8204843481e-02,   3.3638404580e+00,   9.2740000000e-01
   5.1426662157e+00,   1.7502269416e+00,   1.8709499949e-02,   3.4129640370e+00,   9.1840000000e-01
   5.0608645846e+00,   1.6004671193e+00,   1.7891154906e-02,   3.2646443870e+00,   9.2980000000e-01
   5.1256588817e+00,   1.6763379976e+00,   1.8310314020e-02,   3.6209885740e+00,   9.2320000000e-01
   5.0759156833e+00,   1.5314226048e+00,   1.7500986285e-02,   3.3851743860e+00,   9.1880000000e-01
   5.1071560682e+00,   1.6713301499e+00,   1.8282943690e-02,   3.8255895390e+00,   9.1580000000e-01
   5.0779747496e+00,   1.6609987856e+00,   1.8226347882e-02,   4.3200473160e+00,   9.1960000000e-01
   5.1091711368e+00,   1.4994846803e+00,   1.7317532620e-02,   4.0160672170e+00,   9.1900000000e-01
   5.1298734287e+00,   2.4393282912e+00,   2.2087681142e-02,   4.0090475880e+00,   9.1780000000e-01
   5.0884213037e+00,   1.5401532274e+00,   1.7550801847e-02,   3.7379876290e+00,   9.1340000000e-01
   5.1359483822e+00,   1.3943761173e+00,   1.6699557583e-02,   3.9145707840e+00,   9.2480000000e-01
   5.0235677328e+00,   1.2552078391e+00,   1.5844291332e-02,   3.8371590680e+00,   9.2040000000e-01
   4.9947283048e+00,   1.2098507799e+00,   1.5555389933e-02,   3.5111444320e+00,   9.2140000000e-01
   4.9922482527e+00,   1.0817550969e+00,   1.4708875531e-02,   3.3609452170e+00,   9.2960000000e-01
   4.9667481593e+00,   1.0615751859e+00,   1.4571034184e-02,   3.9621370770e+00,   9.2760000000e-01
   4.9848812740e+00,   9.0979644105e-01,   1.3489228600e-02,   3.5288007770e+00,   9.3200000000e-01
   5.0450652834e+00,   1.3167760004e+00,   1.6228222332e-02,   3.4669190120e+00,   9.3660000000e-01
   5.0444133760e+00,   1.7407733580e+00,   1.8658903280e-02,   3.1423182690e+00,   9.3520000000e-01
   4.9191765646e+00,   8.6826089337e-01,   1.3177715230e-02,   4.1985099610e+00,   9.2800000000e-01
   5.1154597538e+00,   1.6590009520e+00,   1.8215383345e-02,   3.9240855860e+00,   9.3700000000e-01
   5.0313629798e+00,   1.5068377745e+00,   1.7359941097e-02,   3.5319954600e+00,   9.2460000000e-01
   4.9229434658e+00,   9.8362777517e-01,   1.4025888743e-02,   4.3343434480e+00,   9.2420000000e-01
   4.9953450505e+00,   1.0279512127e+00,   1.4338418411e-02,   3.9026018400e+00,   9.2860000000e-01
   5.0097986652e+00,   1.1315465401e+00,   1.5043580293e-02,   3.9400886260e+00,   9.2120000000e-01
   4.9928525182e+00,   8.3927119184e-01,   1.2955857300e-02,   4.4376465900e+00,   9.1900000000e-01
   5.1119904461e+00,   2.7630759025e+00,   2.3507768514e-02,   3.5115965550e+00,   9.2980000000e-01
   4.9320023941e+00,   7.2774246939e-01,   1.2064348050e-02,   3.2778907300e+00,   9.2120000000e-01
   5.0022728411e+00,   1.2167964941e+00,   1.5599977526e-02,   3.7596381090e+00,   9.2360000000e-01
   4.9992709128e+00,   9.8237340822e-01,   1.4016942664e-02,   3.9502896160e+00,   9.1940000000e-01
   4.9056108797e+00,   7.4906358230e-01,   1.2239800507e-02,   3.8576600240e+00,   9.2860000000e-01
   5.0057872132e+00,   9.3949680707e-01,   1.3707638798e-02,   3.6540969120e+00,   9.2540000000e-01
   5.0241490394e+00,   1.1592772565e+00,   1.5226800429e-02,   4.1524147130e+00,   9.2900000000e-01
   5.0911775217e+00,   1.6954046504e+00,   1.8414150268e-02,   3.9434931290e+00,   9.2880000000e-01
   4.8884396612e+00,   6.1724929459e-01,   1.1110799202e-02,   3.6257597650e+00,   9.3120000000e-01
   4.9612570737e+00,   7.6012902130e-01,   1.2329874462e-02,   4.2624438800e+00,   9.3460000000e-01
   4.9657687101e+00,   5.8657938319e-01,   1.0831245387e-02,   4.0683316960e+00,   9.3000000000e-01
   4.9401185380e+00,   6.6871874750e-01,   1.1564763270e-02,   4.8481046120e+00,   9.3120000000e-01
   4.9486032206e+00,   6.1694440212e-01,   1.1108054754e-02,   3.2593379180e+00,   9.3000000000e-01
   4.9298585284e+00,   6.2356525076e-01,   1.1167499727e-02,   3.2131305680e+00,   9.2800000000e-01
   4.8892025374e+00,   5.4685934147e-01,   1.0458100606e-02,   2.8565546440e+00,   9.2660000000e-01
   4.9576145783e+00,   7.3669814654e-01,   1.2138353649e-02,   3.6661085830e+00,   9.3620000000e-01
   4.9077375748e+00,   5.5707463263e-01,   1.0555326927e-02,   4.0963970270e+00,   9.2960000000e-01
   4.9365197180e+00,   6.4248499443e-01,   1.1335651674e-02,   3.7396187810e+00,   9.3160000000e-01
   4.8955382769e+00,   5.4605084375e-01,   1.0450366919e-02,   3.4444756320e+00,   9.2800000000e-01
   4.9424687657e+00,   6.4915563382e-01,   1.1394346263e-02,   3.9449691820e+00,   9.2960000000e-01
   4.9143333752e+00,   5.2898319823e-01,   1.0285749348e-02,   3.3856680480e+00,   9.2560000000e-01
   4.9093937267e+00,   4.6599561010e-01,   9.6539692366e-03,   3.4591766930e+00,   9.3040000000e-01
   4.9070044084e+00,   4.8162880794e-01,   9.8145688437e-03,   3.9290095330e+00,   9.2680000000e-01
   4.9073694671e+00,   4.7267306045e-01,   9.7228911385e-03,   3.5407136890e+00,   9.2860000000e-01
   4.9379263388e+00,   6.1209059619e-01,   1.1064272196e-02,   3.3636090320e+00,   9.2440000000e-01
   4.8914506524e+00,   4.8854000840e-01,   9.8847357921e-03,   3.7184056600e+00,   9.3160000000e-01
   4.8785752338e+00,   4.1826824210e-01,   9.1462368447e-03,   4.0280797960e+00,   9.3280000000e-01
   4.9545406367e+00,   1.8414408782e+00,   1.9190835720e-02,   4.4655743210e+00,   9.3080000000e-01
   4.9415369233e+00,   5.3264984567e-01,   1.0321335627e-02,   3.8433916730e+00,   9.2500000000e-01
   4.9399554125e+00,   5.8242286719e-01,   1.0792801927e-02,   3.9831678890e+00,   9.3160000000e-01
   4.9804884418e+00,   1.7330866959e+00,   1.8617662022e-02,   3.6292514140e+00,   9.2280000000e-01
   4.8900777483e+00,   4.5311530768e-01,   9.5196145687e-03,   3.7193605510e+00,   9.3000000000e-01
   4.9438137066e+00,   7.9007719233e-01,   1.2570419184e-02,   4.5129001200e+00,   9.3100000000e-01
   4.9263436108e+00,   6.0064829837e-01,   1.0960367680e-02,   3.1911807740e+00,   9.3020000000e-01
   4.8861783764e+00,   3.9343947331e-01,   8.8706197450e-03,   3.8229111820e+00,   9.3200000000e-01
   4.9437057869e+00,   6.1320994212e-01,   1.1074384336e-02,   3.7275578070e+00,   9.3260000000e-01
   4.9389671625e+00,   5.0440838205e-01,   1.0043987077e-02,   3.1235110330e+00,   9.3760000000e-01
   4.9271779645e+00,   8.7632177273e-01,   1.3238744447e-02,   3.4339723020e+00,   9.2980000000e-01
   4.9535920185e+00,   7.0681213913e-01,   1.1889593257e-02,   3.7630265800e+00,   9.3340000000e-01
   4.9279885712e+00,   5.2374923707e-01,   1.0234737291e-02,   3.5167540340e+00,   9.2840000000e-01
   4.9003722340e+00,   7.4316253891e-01,   1.2191493255e-02,   3.8818186270e+00,   9.3120000000e-01
   4.9549085985e+00,   8.7989481232e-01,   1.3265706256e-02,   3.9102714320e+00,   9.3040000000e-01
   4.9290299558e+00,   6.1687858418e-01,   1.1107462214e-02,   3.2681703860e+00,   9.3140000000e-01
   4.9482273707e+00,   7.7356414973e-01,   1.2438361224e-02,   2.9314703580e+00,   9.2800000000e-01
   4.8705884290e+00,   4.2718880166e-01,   9.2432548560e-03,   2.7888792210e+00,   9.2260000000e-01
